2011-03-15 03:05:08 NOTICE [job.init(97)] starting job 4
2011-03-15 03:05:08 INFO   [job.init(98)] job persistent data and logs will be in './.fstransform/job.4'
2011-03-15 03:05:08 DEBUG  [io/io_posix.open(120)] device length is 2.00 megabytes
2011-03-15 03:05:08 INFO   [transform.run(398)] analyzing device '/dev/loop0', this may take some minutes ...
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_linux_fiemap_ioctl(149)] ioctl(5, FS_IOC_FIEMAP, extents[0]) failed (Operation not supported), falling back on ioctl(FIBMAP) ...
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_posix_fibmap(121)] ioctl(5, FIBMAP) succeeded
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_linux_fiemap_ioctl(149)] ioctl(6, FS_IOC_FIEMAP, extents[0]) failed (Operation not supported), falling back on ioctl(FIBMAP) ...
2011-03-15 03:05:08 DEBUG  [io/extent_posix.ff_posix_fibmap(121)] ioctl(6, FIBMAP) succeeded
2011-03-15 03:05:08 DEBUG  [io/io.read_extents(76)] device effective block size = 1024
2011-03-15 03:05:08 DEBUG  [dispatch.main(29)] using reduced (32 bit) relocation algorithm: lower memory usage
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #  104 extents in loop-file
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      53	         219	        1611	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      54	         220	        1636	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      55	         221	          58	       3	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      56	         224	         152	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      57	         225	          61	      12	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      58	         237	          74	      53	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      59	         290	         128	      24	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      60	         314	         153	      12	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      61	         326	         166	      44	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      62	         370	         211	      35	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      63	         405	         247	      30	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      64	         435	         278	      43	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      65	         478	         867	       1	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      66	         479	         321	      18	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      67	         497	         340	      36	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      68	         533	         377	      43	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      69	         576	         421	      36	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      70	         612	         458	      36	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      71	         648	         495	      35	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      72	         683	         531	      48	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      73	         731	         580	      27	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      74	         758	         608	      16	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      75	         774	         625	      34	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      76	         808	         660	      67	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      77	         875	         728	      21	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      78	         896	         750	      55	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      79	         951	         806	      40	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      80	         991	         847	      20	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      81	        1011	         868	      33	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      82	        1044	         902	      13	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      83	        1057	         916	      72	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      84	        1129	         989	      26	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      85	        1155	        1016	      25	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      86	        1180	        1042	      53	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      87	        1233	        1096	      21	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      88	        1254	        1118	      32	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      89	        1286	        1151	      48	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      90	        1334	        1200	      16	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      91	        1350	        1217	      56	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      92	        1406	        1274	      23	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      93	        1429	        1298	      43	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      94	        1472	        1342	      20	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      95	        1492	        1363	      30	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      96	        1522	        1394	      60	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      97	        1582	        1455	      23	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      98	        1605	        1479	      26	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #      99	        1631	        1506	      20	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #     100	        1651	        1527	      67	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #     101	        1718	        1595	      16	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #     102	        1734	        1612	      24	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #     103	        1758	        1637	      12	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #    3 extents in free-space
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       0	        1770	        1770	       7	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       1	        1778	        1778	     256	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(72)] #       2	        2036	        2036	      12	(0)
2011-03-15 03:05:08 TRACE  [work<T>.show(64)] 
2011-03-15 03:05:08 DEBUG  [work<T>.show(52)] #   11 extents in device
2011-03-15 03:05:08 TRACE  [work<T>.show(55)] # effective block size = 1024
2011-03-15 03:05:08 TRACE  [work<T>.show(56)] #  extent		physical		 logical	  length	user_data
