length 2097152
620544	0	1024
617472	1024	3072
1061888	4096	3072
1067008	7168	1024
1070080	8192	1024
1069056	9216	1024
1064960	10240	2048
1014784	12288	22528
1038336	34816	10240
1049600	45056	1024
1048576	46080	1024
1050624	47104	11264
1068032	58368	1024
122880	59392	1024
1563648	60416	1024
123904	61440	2048
1564672	63488	4096
49152	67584	1024
523264	68608	1024
1392640	69632	1024
1568768	70656	101376
1671168	172032	3072
1675264	175104	268288
91136	525312	12288
51200	537600	1024
103424	538624	19456
125952	558080	37888
52224	595968	1024
163840	596992	65536
53248	662528	1024
229376	663552	57344
54272	720896	1024
286720	721920	52224
55296	774144	1024
338944	775168	46080
57344	821248	1024
385024	822272	53248
58368	875520	1024
438272	876544	32768
59392	909312	1024
471040	910336	15360
60416	925696	1024
486400	926720	24576
61440	951296	1024
510976	952320	11264
524288	963584	32768
558080	996352	2048
62464	998400	1024
560128	999424	29696
63488	1029120	1024
589824	1030144	26624
642048	1056768	2048
65536	1058816	1024
644096	1059840	23552
66560	1083392	1024
667648	1084416	24576
67584	1108992	1024
692224	1110016	23552
68608	1133568	1024
715776	1134592	2048
718848	1136640	47104
69632	1183744	1024
765952	1184768	27648
830464	1212416	24576
70656	1236992	1024
855040	1238016	49152
71680	1287168	1024
904192	1288192	30720
935936	1318912	13312
73728	1332224	1024
949248	1333248	44032
74752	1377280	1024
993280	1378304	13312
75776	1391616	1024
1006592	1392640	1024
1037312	1393664	1024
1071104	1394688	32768
76800	1427456	1024
1103872	1428480	32768
77824	1461248	1024
1136640	1462272	39936
78848	1502208	1024
1176576	1503232	57344
79872	1560576	1024
1233920	1561600	41984
81920	1603584	1024
1275904	1604608	16384
82944	1620992	1024
1292288	1622016	32768
83968	1654784	1024
1325056	1655808	49152
84992	1704960	1024
1374208	1705984	18432
1393664	1724416	10240
86016	1734656	1024
1403904	1735680	35840
87040	1771520	1024
1439744	1772544	21504
88064	1794048	1024
1461248	1795072	54272
89088	1849344	1024
1515520	1850368	48128
934912	1898496	1024
621568	2031616	20480
717824	2052096	1024
793600	2053120	36864
1007616	2089984	6144
616448	2096128	1024
